Tissue_Type	Tumor_type	Code
Brain_CNS	Melanotic Schwannoma	MSCHW
Brain_CNS	Meningioma	MNG
Brain_CNS	Meningothelial Tumor	MNGT
Brain_CNS	Mesenchymal Chondrosarcoma of the CNS	MCHSCNS
Brain_CNS	Miscellaneous Brain Tumor	MBT
Brain_CNS	Miscellaneous Neuroepithelial Tumor	MNET
Brain_CNS	Mixed Germ Cell Tumor	BMGCT
Brain_CNS	Myxopapillary Ependymoma	MPE
Brain_CNS	Nerve Sheath Tumor	NST
Brain_CNS	Neuroblastoma	NBL
Brain_CNS	Neurofibroma	NFIB
Brain_CNS	Oligoastrocytoma	OAST
Brain_CNS	Oligodendroglioma	ODG
Brain_CNS	Papillary Glioneuronal Tumor	PGNT
Brain_CNS	Papillary Meningioma	PPM
Brain_CNS	Papillary Tumor of the Pineal Region	PTPR
Brain_CNS	Paraganglioma	PGNG
Brain_CNS	Pilocytic Astrocytoma	PAST
Brain_CNS	Pilomyxoid Astrocytoma	PMA
Brain_CNS	Pineal Parenchymal Tumor of Intermediate Differentiation	PPTID
Brain_CNS	Pineal Tumor	PINT
Brain_CNS	Pineoblastoma	PBL
Brain_CNS	Pineocytoma	PINC
Brain_CNS	Pituicytoma	PTCY
Brain_CNS	Pituitary Adenoma	PTAD
Brain_CNS	Pituitary Carcinoma	PTCA
Brain_CNS	Pleomorphic Xanthoastrocytoma	PXA
Brain_CNS	Primary Brain Tumor	PBT
Brain_CNS	Primary Neuroepithelial Tumor	PRNET
Brain_CNS	Primitive Neuroectodermal Tumor	PNET
Brain_CNS	Rhabdoid Meningioma	RHM
Brain_CNS	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	RGNT
Brain_CNS	Schwannoma	SCHW
Brain_CNS	Sellar Tumor	SELT
Brain_CNS	Small Cell Glioblastoma	SCGBM
Brain_CNS	Solitary Fibrous Tumor of the Central Nervous System	SFTCNS
Brain_CNS	Spindle Cell Oncocytoma of the Adenohypophysis	SCOAH
Brain_CNS	Subependymoma	SUBE
Brain_CNS	Yolk Sac Tumor	BYST
Breast	Adenoid Cystic Breast Cancer	ACBC
Breast	Breast Carcinoma with Signet Ring	BRSRCC
Breast	Breast Ductal Carcinoma In Situ	DCIS
Breast	Breast Invasive Cancer, NOS	BRCANOS
Breast	Breast Invasive Ductal Carcinoma	IDC
Breast	Breast Invasive Lobular Carcinoma	ILC
Breast	Breast Invasive Mixed Mucinous Carcinoma	IMMC
Breast	Breast Lobular Carcinoma In Situ	LCIS
Breast	Breast Mixed Ductal and Lobular Carcinoma	MDLC
Breast	Carcinoma with Chondroid Metaplasia	CCHM
Breast	Carcinoma with Osseous Metaplasia	COM
Breast	Epithelial Type Metaplastic Breast Cancer	EMBC
Breast	Inflammatory Breast Cancer	IBC
Breast	Invasive Breast Carcinoma	BRCA
Breast	Metaplastic Adenocarcinoma with Spindle Cell Differentiation	MASCC
Breast	Metaplastic Adenosquamous Carcinoma	MASC
Breast	Metaplastic Breast Cancer	MBC
Breast	Metaplastic Carcinosarcoma	MCS
Breast	Metaplastic Squamous Cell Carcinoma	MSCC
Breast	Mixed Type Metaplastic Breast Cancer	MMBC
Breast	Paget Disease	PAGD
Cervix	Cervical Adenocarcinoma	CEAD
Cervix	Cervical Adenosquamous Carcinoma	CEAS
Cervix	Cervical Clear Cell Carcinoma	CECC
Cervix	Cervical Leiomyosarcoma	CELI
Cervix	Cervical Neuroendocrine Tumor	CENE
Cervix	Cervical Rhabdomyosarcoma	CERMS
Cervix	Cervical Serous Carcinoma	CESE
Cervix	Cervical Squamous Cell Carcinoma	CESC
Cervix	Cervival Adenoid Basal Carcinoma	CABC
Cervix	Cervival Adenoid Cystic Carcinoma	CACC
Cervix	Endocervical Adenocarcinoma	ECAD
Cervix	Endometrioid Carcinoma	CEEN
Cervix	Gastric Type Mucinous Carcinoma	GCEMU
Cervix	Glassy Cell Carcinoma of the Cervix	CEGCC
Cervix	Intestinal Type Mucinous Carcinoma	ICEMU
Cervix	Mesonephric Carcinoma	CEMN
Cervix	Mucinous Carcinoma	CEMU
Cervix	Signet Ring Mucinous Carcinoma	SCEMU
Cervix	Small Cell Carcinoma of the Cervix	SCCE
Cervix	Villoglandular Adenocarcinoma of the Cervix	VGCE
Cervix	Villoglandular Carcinoma	CEVG
Esophagus_Stomach	Adenocarcinoma of the Gastroesophageal Junction	GEJ
Esophagus_Stomach	Adenosquamous Carcinoma of the Stomach	STAS
Esophagus_Stomach	Diffuse Type Stomach Adenocarcinoma	DSTAD
Esophagus_Stomach	Esophageal Adenocarcinoma	ESCA
Esophagus_Stomach	Esophageal Poorly Differentiated Carcinoma	EPDCA
Esophagus_Stomach	Esophageal Squamous Cell Carcinoma	ESCC
Esophagus_Stomach	Esophagogastric Adenocarcinoma	EGC
Esophagus_Stomach	Gastric Remnant Adenocarcinoma	GRC
Esophagus_Stomach	Intestinal Type Stomach Adenocarcinoma	ISTAD
Esophagus_Stomach	Mucinous Stomach Adenocarcinoma	MSTAD
Esophagus_Stomach	Papillary Stomach Adenocarcinoma	PSTAD
Esophagus_Stomach	Poorly Differentiated Carcinoma of the Stomach	SPDAC
Esophagus_Stomach	Signet Ring Cell Carcinoma of the Stomach	SSRCC
Esophagus_Stomach	Small Cell Carcinoma of the Stomach	STSC
Esophagus_Stomach	Stomach Adenocarcinoma	STAD
Esophagus_Stomach	Tubular Stomach Adenocarcinoma	TSTAD
Esophagus_Stomach	Undifferentiated Stomach Adenocarcinoma	USTAD
Eye	Conjunctival Melanoma	CM
Eye	Ocular Melanoma	OM
Eye	Retinoblastoma	RBL
Eye	Uveal Melanoma	UM
Head_Neck	Acinic Cell Carcinoma	ACCC
Head_Neck	Adenoid Cystic Carcinoma	ACYC
Head_Neck	Clear Cell Odontogenic Carcinoma	CCOC
Head_Neck	Head and Neck Neuroendocrine Carcinoma	HNNE
Head_Neck	Head and Neck Squamous Cell Carcinoma	HNSC
Head_Neck	Head and Neck Squamous Cell Carcinoma of Unknown Primary	HNSCUP
Head_Neck	Hypopharynx Squamous Cell Carcinoma	HPHSC
Head_Neck	Larynx Squamous Cell Carcinoma	LXSC
Head_Neck	Mucoepidermoid Carcinoma	MUCC
Head_Neck	Myoepithelial Carcinoma	MYEC
Head_Neck	Nasopharyngeal Carcinoma	NPC
Head_Neck	Odontogenic Carcinoma	ODGC
Head_Neck	Oral Cavity Squamous Cell Carcinoma	OCSC
Head_Neck	Oropharynx Squamous Cell Carcinoma	OPHSC
Head_Neck	Salivary Carcinoma	SACA
Head_Neck	Salivary Duct Adenocarcinoma	SDAC
Head_Neck	Sinonasal Squamous Cell Carcinoma	SNSC
Kidney	Chromophobe Renal Cell Carcinoma	CHRCC
Kidney	Clear Cell Papillary Renal Cell Carcinoma	CCPRC
Kidney	Papillary Renal Cell Carcinoma	PRCC
Kidney	Renal Cell Carcinoma	RCC
Kidney	Renal Clear Cell Carcinoma	CCRCC
Kidney	Renal Epithelioid Angiomyolipoma	REA
Kidney	Renal Medullary Carcinoma	MRC
Kidney	Renal Mucinous Tubular Spindle Cell Carcinoma	MTSCC
Kidney	Renal Non-Clear Cell Carcinoma	NCCRCC
Kidney	Renal Oncocytoma	ROCY
Kidney	Rhabdoid Cancer	MRT
Kidney	Sarcomatoid Renal Cell Carcinoma	SRCC
Kidney	Unclassified Renal Cell Carcinoma	URCC
Kidney	Wilms' Tumor	WT
Liver	Fibrolamellar Carcinoma	LIFC
Liver	Hepatoblastoma	LIHB
Liver	Hepatocellular Adenoma	LIAD
Liver	Hepatocellular Carcinoma	HCC
Liver	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	HCCIHCH
Liver	Liver Angiosarcoma	LIAS
Lung	Adenoid Cystic Carcinoma of the Lung	LUACC
Lung	Atypical Lung Carcinoid	ALUCA
Lung	Basaloid Large Cell Carcinoma of the Lung	BLCLC
Lung	Clear Cell Carcinoma of the Lung	CCLC
Lung	Giant Cell Carcinoma of the Lung	GCLC
Lung	Inflammatory Myofibroblastic Lung Tumor	IMTL
Lung	Large Cell Lung Carcinoma	LCLC
Lung	Large Cell Lung Carcinoma With Rhabdoid Phenotype	RLCLC
Lung	Large Cell Neuroendocrine Carcinoma	LUNE
Lung	Lung Adenocarcinoma	LUAD
Lung	Lung Adenosquamous Carcinoma	LUAS
Lung	Lung Carcinoid	LUCA
Lung	Lung Squamous Cell Carcinoma	LUSC
Lung	Lymphoepithelioma-like Carcinoma of the Lung	LECLC
Lung	Mucoepidermoid Carcinoma of the Lung	LUMEC
Lung	Non-Small Cell Lung Cancer	NSCLC
Lung	Salivary Gland–Type Tumor of the Lung	SGTTL
Lung	Sarcomatoid Carcinoma of the Lung	SARCL
Lung	Small Cell Lung Cancer	SCLC
Lymph	Anaplastic Large Cell Lymphoma	ALCL
Lymph	B-Cell Lymphoma	BCL
Lymph	Burkitt Lymphoma	BL
Lymph	Diffuse Large B-Cell Lymphoma	DLBCL
Lymph	Follicular Lymphoma	FL
Lymph	Hodgkin's Lymphoma	HL
Lymph	Mantle Cell Lymphoma	MCL
Lymph	Marginal Zone Lymphoma	MZL
Lymph	Mediastinal Large B-Cell Lymphoma	MBCL
Lymph	Non-Hodgkin’s Lymphoma	NHL
Lymph	Peripheral T-Cell Lymphoma	PTCL
Lymph	Primary CNS Lymphoma	PCNSL
Lymph	Sezary Syndrome	SEZS
Lymph	Small Lymphocytic Lymphoma	SLL
Lymph	T-Cell and Natural Killer Lymphoma	TNKL
Lymph	Waldenstrom Macroglobulinemia	WM
Other	Cancer of Unknown Primary	CUP
Other	Mixed Cancer Types	MIXED
Other	Unknown	UNK
Ovary	Brenner Tumor	BTOV
Ovary	Brenner Tumor, Benign	BTBEOV
Ovary	Brenner Tumor, Borderline	BTBOV
Ovary	Brenner Tumor, Malignant	BTMOV
Ovary	Choriocarcinoma	OCCA
Ovary	Clear Cell Borderline Ovarian Tumor	CCBOV
Ovary	Clear Cell Ovarian Cancer	CCOV
Ovary	Dysgerminoma	ODYS
Ovary	Embryonal Carcinoma	OEC
Ovary	Endometrioid Borderlin Ovarian Tumor	EBOV
Ovary	Endometrioid Ovarian Cancer	EOV
Ovary	Gonadoblastoma	OGBL
Ovary	Granulosa Cell Tumor	GRCT
Ovary	High Grade Serous Ovarian Cancer	HGSOC
Ovary	Immature Teratoma	OIMT
Ovary	Low Grade Serous Ovarian Cancer	LGSOC
Ovary	Malignant Fibrothecoma	MFT
Ovary	Mature Teratoma	OMT
Ovary	Mixed Germ Cell Tumor	OMGCT
Ovary	Mixed Ovarian Carcinoma	MXOV
Ovary	Mucinous Borderline Ovarian Tumor	MBOV
Ovary	Mucinous Ovarian Cancer	MOV
Ovary	Ovarian Carcinosarcoma / Malignant Mixed Mesodermal Tumor	OCS
Ovary	Ovarian Epithelial Tumor	OVT
Ovary	Ovarian Germ Cell Tumor	OGCT
Ovary	Ovarian Seromucinous Adenoma	OSMAD
Ovary	Ovarian Seromucinous Borderline Tumor	OSMBT
Ovary	Ovarian Seromucinous Carcinoma	OSMCA
Ovary	Polyembryona	OPE
Ovary	Serous Borderline Ovarian Tumor	SBOV
Ovary	Serous Borderline Ovarian Tumor, Micropapillary	SBMOV
Ovary	Serous Ovarian Cancer	SOC
Ovary	Sertoli-Leydig Cell Tumor	SLCT
Ovary	Sex Cord Stromal Tumors	SCST
Ovary	Small Cell Carcinoma of the Ovary	SCCO
Ovary	Yolk Sac Tumor	OYST
Pancreas	Acinar Cell Carcinoma of the Pancreas	PAAC
Pancreas	Adenosquamous Carcinoma of the Pancreas	PAASC
Pancreas	Cystic Tumor of the Pancreas	PACT
Pancreas	Pancreatic Adenocarcinoma	PAAD
Pancreas	Pancreatic Neuroendocrine Tumor	PANET
Penis	Basaloid Penile Squamous Cell Carcinoma	BPSCC
Penis	Penile Squamous Cell Carcinoma	PSCC
Penis	Verrucous Penile Squamous Cell Carcinoma	VPSCC
Penis	Warty Penile Squamous Cell Carcinoma	WPSCC
Peritoneum	Peritoneal Mesothelioma	PEMESO
Pleura	Pleural Mesothelioma	PLMESO
Prostate	Prostate Adenocarcinoma	PRAD
Prostate	Prostate Neuroendocrine Carcinoma	PRNE
Prostate	Prostate Small Cell Carcinoma	PRSCC
Skin	Acral Melanoma	ACRM
Skin	Aggressive Digital Papillary Adenocarcinoma	ADPA
Skin	Atypical Fibroxanthoma	AFX
Skin	Basal Cell Carcinoma	BCC
Skin	Congenital Nevus	SKCN
Skin	Cutaneous Melanoma / Spindle Cell	SKCM
Skin	Cutaneous Squamous Cell Carcinoma	CSCC
Skin	Dermatofibroma	DF
Skin	Desmoplastic Melanoma	DESM
Skin	Desmoplastic Trichoepithelioma	DTE
Skin	Endocrine Mucin Producing Sweat Gland Carcinoma	EMPSGC
Skin	Lentigo Maligna Melanoma	SKLMM
Skin	Melanoma	MEL
Skin	Merkel Cell Carcinoma	MCC
Skin	Microcystic Adnexal Carcinoma	MAC
Skin	Mucosal Melanoma	MUCM
Skin	Porocarcinoma / Spiroadenocarcinoma	POCA
Skin	Poroma / Acrospiroma	PORO
Skin	Porphyria Cutania Tarda	PCT
Skin	Proliferating Pilar Cystic Tumor	PPCT
Skin	Sebaceous Carcinoma	SEBA
Skin	Skin Adnexal Carcinoma	SKAC
Skin	Spiroma / Spiradenoma	SPIR
Skin	Sweat Gland Adenocarcinoma	SGAD
Skin	Sweat Gland Carcinoma / Apocrine Eccrine Carcinoma	AECA
Soft_Tissue	Alveolar Rhabdomyosarcoma	ARMS
Soft_Tissue	Alveolar Soft Part Sarcoma	ASPS
Soft_Tissue	Angiosarcoma	ANGS
Soft_Tissue	Clear Cell Sarcoma	CCS
Soft_Tissue	Dedifferentiated Liposarcoma	DDLS
Soft_Tissue	Dendritic Cell Sarcoma	DCS
Soft_Tissue	Dermatofibrosarcoma Protuberans	DFSP
Soft_Tissue	Desmoid / Aggressive Fibromatosis	DES
Soft_Tissue	Desmoplastic Small-Round-Cell Tumor	DSRCT
Soft_Tissue	Embryonal Rhabdomyosarcoma	ERMS
Soft_Tissue	Epithelioid Hemangioendothelioma	EHAE
Soft_Tissue	Epitheloid Sarcoma	EPIS
Soft_Tissue	Fibrosarcoma	FIBS
Soft_Tissue	Follicular Dendritic Cell Sarcoma	FDCS
Soft_Tissue	Gastrointestinal Stromal Tumor	GIST
Soft_Tissue	Hemangioma	HEMA
Soft_Tissue	Histiocytic Dendritic Cell Sarcoma	HDCS
Soft_Tissue	Inflammatory Myofibroblastic Tumor	IMT
Soft_Tissue	Interdigitating Dendritic Cell Sarcoma	IDCS
Soft_Tissue	Intimal Sarcoma	INTS
Soft_Tissue	Leiomyosarcoma	LMS
Soft_Tissue	Liposarcoma	LIPO
Soft_Tissue	Low-Grade Fibromyxoid Sarcoma	LGFMS
Soft_Tissue	Myopericytoma	MPC
Soft_Tissue	Myxofibrosarcoma	MFS
Soft_Tissue	Myxoid / Round-Cell Liposarcoma	MRLS
Soft_Tissue	Myxoma	MYXO
Soft_Tissue	Ossifying Fibromyxoid Tumor	OFMT
Soft_Tissue	Perivascular Epithelioid Cell Tumor	PECOMA
Soft_Tissue	Pleomorphic Liposarcoma	PLLS
Soft_Tissue	Pleomorphic Rhabdomyosarcoma	PLRMS
Soft_Tissue	Radiation-Associated Sarcoma	RAS
Soft_Tissue	Rhabdomyosarcoma	RMS
Soft_Tissue	Solitary Fibrous Tumor / Hemangiopericytoma	SFT
Soft_Tissue	Spindle Cell Rhabdomyosarcoma	SCRMS
Soft_Tissue	Synovial Sarcoma	SYNS
Soft_Tissue	Undifferentiated Pleomorphic Sarcoma / Malignant Fibrous Histiocytoma / High Grade Spindle Cell Sarcoma	MFH
Soft_Tissue	Well-Differentiated Liposarcoma	WDLS
Testis	Choriocarcinoma	TCCA
Testis	Embryonal Carcinoma	EMBCA
Testis	Mixed Germ Cell Tumor	MGCT
Testis	Non-Seminomatous Germ Cell Tumor	NSGCT
Testis	Seminoma	SEM
Testis	Teratoma	TT
Testis	Testicular Mesothelioma	TMESO
Testis	Yolk Sac Tumor	TYST
Thymus	Thymic Carcinoma	THYC
Thymus	Thymic Epithelial Tumor	TET
Thymus	Thymoma	THYM
Thyroid	Anaplastic Thyroid Cancer	THAP
Thyroid	Follicular Thyroid Cancer	THFO
Thyroid	Hurthle Cell Thyroid Cancer	THHC
Thyroid	Medullary Thyroid Cancer	THME
Thyroid	Papillary Thyroid Cancer	THPA
Thyroid	Poorly Differentiated Thyroid Cancer	THPD
Uterus	Choriocarcinoma	UCCA
Uterus	Complete Hydatidiform Mole	CHM
Uterus	Endometrial Carcinoma	UCEC
Uterus	Epithelioid Trophoblastic Tumor	ETT
Uterus	Gestational Trophoblastic Disease	GTD
Uterus	High Grade Endometrial Stromal Sarcoma	HGUESS
Uterus	Invasive Hydatidiform Mole	IHM
Uterus	Low Grade Endometrial Stromal Sarcoma	LGUESS
Uterus	Molar Pregnancy	MP
Uterus	Other Uterine Tumor	OUTT
Uterus	Partial Hydatidiform Mole	PHM
Uterus	Placental Site Trophoblastic Tumor	PSTT
Uterus	Undifferentiated Uterine Sarcoma	UUS
Uterus	Uterine Adenosarcoma	UAS
Uterus	Uterine Adenosquamous Carcinoma	UASC
Uterus	Uterine Carcinosarcoma / Uterine Malignant Mixed Müllerian Tumor	UCS
Uterus	Uterine Clear Cell Carcinoma	UCCC
Uterus	Uterine Endometrial Stromal Sarcoma	UESS
Uterus	Uterine Endometrioid Carcinoma	UEC
Uterus	Uterine Epithelioid Leiomyosarcoma	UELMS
Uterus	Uterine Leiomyoma	ULM
Uterus	Uterine Leiomyosarcoma	ULMS
Uterus	Uterine Mixed Endometrial Carcinoma	UMEC
Uterus	Uterine Mucinous Carcinoma	UMC
Uterus	Uterine Myxoid Leiomyosarcoma	UMLMS
Uterus	Uterine Neuroendocrine Carcinoma	UNEC
Uterus	Uterine Perivascular Epithelioid Cell Tumor	UPECOMA
Uterus	Uterine Sarcoma / Mesenchymal	USARC
Uterus	Uterine Sarcoma, Other	OUSARC
Uterus	Uterine Serous Carcinoma / Uterine Papillary Serous Carcinoma	USC
Uterus	Uterine Smooth Muscle Tumor	USMT
Uterus	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	USTUMP
Uterus	Uterine Undifferentiated Carcinoma	UUC
Vulva	Choriocarcinoma	VCCA
Vulva	Dysgerminoma	VDYS
Vulva	Embryonal Carcinoma	VOEC
Vulva	Germ Cell Tumor of the Vulva	VGCT
Vulva	Immature Teratoma	VIMT
Vulva	Mature Teratoma	VMT
Vulva	Melanoma of the Vulva	VM
Vulva	Mixed Germ Cell Tumor	VMGCT
Vulva	Polyembryona	VPE
Vulva	Squamous Cell Carcinoma of the Vulva	VSC
Vulva	Yolk Sac Tumor	VYST
